[Imports]
nth vaddr       bind type lib          name
92  0x1405b2380 NONE FUNC kernel32.dll CreateMutexA
93  0x1405b2388 NONE FUNC kernel32.dll WaitForSingleObjectEx
94  0x1405b2390 NONE FUNC kernel32.dll LoadLibraryA
95  0x1405b2398 NONE FUNC kernel32.dll ReleaseMutex
96  0x1405b23a0 NONE FUNC kernel32.dll RtlVirtualUnwind
97  0x1405b23a8 NONE FUNC kernel32.dll AcquireSRWLockShared
98  0x1405b23b0 NONE FUNC kernel32.dll ReleaseSRWLockShared
99  0x1405b23b8 NONE FUNC kernel32.dll SetHandleInformation
100 0x1405b23c0 NONE FUNC kernel32.dll SetFilePointerEx
101 0x1405b23c8 NONE FUNC kernel32.dll RtlPcToFileHeader
102 0x1405b23d0 NONE FUNC kernel32.dll RtlUnwindEx
103 0x1405b23d8 NONE FUNC kernel32.dll GetStartupInfoW
104 0x1405b23e0 NONE FUNC kernel32.dll GetSystemInfo
105 0x1405b23e8 NONE FUNC kernel32.dll GetConsoleOutputCP
106 0x1405b23f0 NONE FUNC kernel32.dll FlushFileBuffers
107 0x1405b23f8 NONE FUNC kernel32.dll GetTickCount
108 0x1405b2400 NONE FUNC kernel32.dll MapViewOfFile
109 0x1405b2408 NONE FUNC kernel32.dll CreateFileMappingW
110 0x1405b2410 NONE FUNC kernel32.dll FormatMessageA
111 0x1405b2418 NONE FUNC kernel32.dll GetSystemTime
112 0x1405b2420 NONE FUNC kernel32.dll FreeLibrary
113 0x1405b2428 NONE FUNC kernel32.dll SystemTimeToFileTime
114 0x1405b2430 NONE FUNC kernel32.dll GetFileSize
115 0x1405b2438 NONE FUNC kernel32.dll LockFileEx
116 0x1405b2440 NONE FUNC kernel32.dll LocalFree
117 0x1405b2448 NONE FUNC kernel32.dll UnlockFile
118 0x1405b2450 NONE FUNC kernel32.dll HeapDestroy
119 0x1405b2458 NONE FUNC kernel32.dll HeapCompact
120 0x1405b2460 NONE FUNC kernel32.dll LoadLibraryW
121 0x1405b2468 NONE FUNC kernel32.dll DeleteFileW
122 0x1405b2470 NONE FUNC kernel32.dll DeleteFileA
123 0x1405b2478 NONE FUNC kernel32.dll CreateFileA
124 0x1405b2480 NONE FUNC kernel32.dll FlushViewOfFile
125 0x1405b2488 NONE FUNC kernel32.dll OutputDebugStringW
126 0x1405b2490 NONE FUNC kernel32.dll GetFileAttributesExW
127 0x1405b2498 NONE FUNC kernel32.dll GetFileAttributesA
128 0x1405b24a0 NONE FUNC kernel32.dll GetDiskFreeSpaceA
129 0x1405b24a8 NONE FUNC kernel32.dll GetTempPathA
130 0x1405b24b0 NONE FUNC kernel32.dll HeapSize
131 0x1405b24b8 NONE FUNC kernel32.dll HeapValidate
132 0x1405b24c0 NONE FUNC kernel32.dll UnmapViewOfFile
133 0x1405b24c8 NONE FUNC kernel32.dll GetFileAttributesW
134 0x1405b24d0 NONE FUNC kernel32.dll CreateMutexW
135 0x1405b24d8 NONE FUNC kernel32.dll GetTempPathW
136 0x1405b24e0 NONE FUNC kernel32.dll UnlockFileEx
137 0x1405b24e8 NONE FUNC kernel32.dll SetEndOfFile
138 0x1405b24f0 NONE FUNC kernel32.dll GetFullPathNameA
139 0x1405b24f8 NONE FUNC kernel32.dll SetFilePointer
140 0x1405b2500 NONE FUNC kernel32.dll LockFile
141 0x1405b2508 NONE FUNC kernel32.dll OutputDebugStringA
142 0x1405b2510 NONE FUNC kernel32.dll GetDiskFreeSpaceW
143 0x1405b2518 NONE FUNC kernel32.dll WriteFile
144 0x1405b2520 NONE FUNC kernel32.dll HeapCreate
145 0x1405b2528 NONE FUNC kernel32.dll ReadFile
146 0x1405b2530 NONE FUNC kernel32.dll AreFileApisANSI
147 0x1405b2538 NONE FUNC kernel32.dll RaiseException
148 0x1405b2540 NONE FUNC kernel32.dll InitializeCriticalSection
149 0x1405b2548 NONE FUNC kernel32.dll EnterCriticalSection
150 0x1405b2550 NONE FUNC kernel32.dll LeaveCriticalSection
151 0x1405b2558 NONE FUNC kernel32.dll TryEnterCriticalSection
152 0x1405b2560 NONE FUNC kernel32.dll DeleteCriticalSection
153 0x1405b2568 NONE FUNC kernel32.dll GetCurrentThreadId
154 0x1405b2570 NONE FUNC kernel32.dll IsDebuggerPresent
155 0x1405b2578 NONE FUNC kernel32.dll InitializeSListHead
156 0x1405b2580 NONE FUNC kernel32.dll WaitForSingleObject
157 0x1405b2588 NONE FUNC kernel32.dll TlsAlloc
158 0x1405b2590 NONE FUNC kernel32.dll IsProcessorFeaturePresent
159 0x1405b2598 NONE FUNC kernel32.dll TerminateProcess
160 0x1405b25a0 NONE FUNC kernel32.dll SetUnhandledExceptionFilter
161 0x1405b25a8 NONE FUNC kernel32.dll UnhandledExceptionFilter
162 0x1405b25b0 NONE FUNC kernel32.dll HeapFree
1   0x1405b25c0 NONE FUNC ntdll.dll    RtlNtStatusToDosError
2   0x1405b25c8 NONE FUNC ntdll.dll    NtWriteFile
3   0x1405b25d0 NONE FUNC ntdll.dll    NtCancelIoFileEx
4   0x1405b25d8 NONE FUNC ntdll.dll    NtReadFile
